,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
Will Dissly,SEA,TE,1,2,15,7.0,15.0,0,2,7.0,0,0,0,0,0,0,0
Auden Tate,CIN,WR,1,1,15,15.0,15.0,0,1,15.0,0,0,0,0,0,0,0
Preston Williams,MIA,WR,1,1,15,15.0,15.0,0,3,5.0,0,0,0,0,0,0,0
Brian Hill,ATL,RB,1,2,13,6.0,13.0,0,2,6.0,0,0,0,0,0,0,0
Jeff Wilson,SF,RB,1,1,13,13.0,13.0,0,1,13.0,0,0,0,0,0,0,0
Mo Alie-Cox,IND,TE,1,1,13,13.0,13.0,1,2,6.0,0,0,0,0,0,0,0
Kyle Juszczyk,SF,FB,1,1,13,13.0,13.0,0,2,6.0,0,0,0,0,0,0,0
Jack Doyle,IND,TE,1,1,12,12.0,12.0,0,1,12.0,0,0,0,0,0,0,0
Tyler Kroft,BUF,TE,1,1,12,12.0,12.0,0,3,4.0,0,0,0,0,0,0,0
Justin Jackson,LAC,RB,1,2,12,6.0,12.0,0,2,6.0,0,0,0,0,0,0,0
Chris Herndon,NYJ,TE,1,1,11,11.0,11.0,0,3,3.0,0,0,0,0,0,0,0
Jonathan Taylor,IND,RB,1,1,11,11.0,11.0,0,1,11.0,0,0,0,0,0,0,0
Gunner Olszewski,NE,WR,1,1,11,11.0,11.0,0,1,11.0,0,0,0,0,0,0,0
Ted Ginn,CHI,WR,1,2,11,5.0,11.0,0,2,5.0,0,0,0,0,0,0,0
Melvin Gordon,DEN,RB,1,2,11,5.0,11.0,0,3,3.0,0,0,0,0,0,0,0
Kalen Ballage,NYJ,RB,1,2,11,5.0,11.0,0,3,3.0,0,0,0,0,0,0,0
Seth Roberts,CAR,WR,1,1,10,10.0,10.0,0,1,10.0,0,0,0,0,0,0,0
Jalen Richard,LV,RB,1,2,10,5.0,10.0,0,4,2.0,0,0,0,0,0,0,0
Ryan Griffin,NYJ,TE,1,3,10,3.0,10.0,0,3,3.0,0,0,0,0,0,0,0
Deonte Harris,NO,WR,1,1,10,10.0,10.0,0,2,5.0,0,0,0,0,0,0,0
Kaden Smith,NYG,TE,1,1,10,10.0,10.0,0,1,10.0,0,0,0,0,0,0,0
Gerald Everett,LAR,TE,1,1,10,10.0,10.0,0,1,10.0,0,0,0,0,0,1,1
T.J. Hockenson,DET,TE,1,2,9,4.0,9.0,1,4,2.0,0,0,0,0,0,0,0
Zach Ertz,PHI,TE,1,4,9,2.0,9.0,0,5,1.0,0,0,0,0,0,0,0
Marvin Jones,DET,WR,1,1,9,9.0,9.0,0,2,4.0,0,0,0,0,0,0,0
Alex Erickson,CIN,WR,1,1,9,9.0,9.0,0,1,9.0,0,0,0,0,0,0,0
Nick Boyle,BAL,TE,1,1,9,9.0,9.0,0,1,9.0,0,0,0,0,0,0,0
DaeSean Hamilton,DEN,WR,1,1,9,9.0,9.0,0,3,3.0,0,0,0,0,0,0,0
Tyler Ervin,GB,RB,1,1,8,8.0,8.0,0,2,4.0,0,0,0,0,0,0,0
Taysom Hill,NO,QB,1,1,8,8.0,8.0,0,1,8.0,0,0,0,0,0,1,0
Logan Thomas,WAS,TE,1,1,8,8.0,8.0,0,4,2.0,0,0,0,0,0,0,0
Dion Lewis,NYG,RB,1,2,8,4.0,8.0,0,3,2.0,0,0,0,0,0,0,0
Foster Moreau,LV,TE,1,1,8,8.0,8.0,0,1,8.0,0,0,0,0,0,0,0
Nyheim Hines,IND,RB,1,3,8,2.0,8.0,0,3,2.0,0,0,0,0,0,0,0
Josh Hill,NO,TE,1,1,7,7.0,7.0,0,1,7.0,0,0,0,0,0,1,0
Nick Vannett,DEN,TE,1,1,7,7.0,7.0,0,2,3.0,0,0,0,0,0,0,0
Demetrius Harris,CHI,TE,1,1,6,6.0,6.0,0,2,3.0,0,0,0,0,0,0,0
Frank Gore,NYJ,RB,1,1,6,6.0,6.0,0,2,3.0,0,0,0,0,0,0,0
Andre Roberts,BUF,WR,1,1,6,6.0,6.0,0,1,6.0,0,0,0,0,0,0,0
Todd Gurley,ATL,RB,1,1,6,6.0,6.0,0,1,6.0,0,0,0,0,0,0,0
Royce Freeman,DEN,RB,1,2,6,3.0,6.0,0,2,3.0,0,0,0,0,0,0,0
Mike Thomas,CIN,WR,1,1,5,5.0,5.0,0,1,5.0,0,0,0,0,0,0,0
Gabe Nabers,LAC,FB,1,1,5,5.0,5.0,0,1,5.0,0,0,0,0,0,0,0
Ian Thomas,CAR,TE,1,2,5,2.0,5.0,1,5,1.0,0,0,0,0,0,0,0
Johnny Mundt,LAR,TE,1,1,5,5.0,5.0,0,1,5.0,0,0,0,0,0,0,0
Deon Yelder,KC,TE,1,1,5,5.0,5.0,0,1,5.0,0,0,0,0,0,0,0
Rex Burkhead,NE,RB,1,1,5,5.0,5.0,0,1,5.0,0,0,0,0,0,0,0
Larry Fitzgerald,ARI,WR,1,2,4,2.0,4.0,0,3,1.0,0,0,0,0,0,0,0
Keith Smith,ATL,FB,1,1,4,4.0,4.0,0,1,4.0,0,0,0,0,0,0,0
Devin Duvernay,BAL,WR,1,1,4,4.0,4.0,0,2,2.0,0,0,0,0,0,0,0
Jason Cabinda,DET,FB,1,1,4,4.0,4.0,0,1,4.0,0,0,0,0,0,0,0
Kerryon Johnson,DET,RB,1,1,3,3.0,3.0,0,1,3.0,0,0,0,0,0,0,0
Chandler Cox,MIA,FB,1,1,3,3.0,3.0,0,1,3.0,0,0,0,0,0,0,0
Andy Isabella,ARI,WR,1,2,3,1.0,3.0,0,3,1.0,0,0,0,0,0,0,0
Jordan Thomas,ARI,TE,1,1,3,3.0,3.0,1,1,3.0,0,0,0,0,0,0,0
Travis Homer,SEA,RB,1,1,3,3.0,3.0,1,1,3.0,0,0,0,0,0,0,0
Michael Burton,NO,FB,1,1,3,3.0,3.0,0,1,3.0,0,0,0,0,0,0,0
Cameron Brate,TB,TE,1,1,3,3.0,3.0,1,1,3.0,0,0,0,0,0,0,0
LeSean McCoy,TB,RB,1,1,3,3.0,3.0,0,1,3.0,0,0,0,0,0,0,0
Mark Ingram,BAL,RB,1,1,3,3.0,3.0,0,1,3.0,0,0,0,0,0,0,0
A.J. Green,CIN,WR,1,1,3,3.0,3.0,0,5,0.0,0,0,0,0,0,0,0
Austin Ekeler,LAC,RB,1,1,2,2.0,2.0,0,1,2.0,0,0,0,0,0,0,0
