,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Foster Moreau,LV,TE,1,1,1,8,3,3.0,0.3,3,100.0,0.0,1.2,2.3,5,5.0,62.5,0,0
Nyheim Hines,IND,RB,1,3,3,8,-5,-1.7,-0.2,-5,100.0,0.0,-2.1,10.7,13,4.3,162.5,0,0
Josh Hill,NO,TE,1,1,1,7,3,3.0,0.1,3,100.0,0.0,1.3,4.0,4,4.0,57.1,0,0
Nick Vannett,DEN,TE,1,2,1,7,13,6.5,0.5,5,50.0,0.0,4.7,7.1,2,2.0,28.6,0,0
Demetrius Harris,CHI,TE,1,2,1,6,5,2.5,0.2,0,50.0,0.0,1.4,4.8,6,6.0,100.0,0,0
Frank Gore,NYJ,RB,1,2,1,6,16,8.0,0.4,2,50.0,0.0,3.9,4.7,4,4.0,66.7,0,0
Andre Roberts,BUF,WR,1,1,1,6,5,5.0,0.8,5,100.0,0.0,2.4,3.1,1,1.0,16.7,0,0
Todd Gurley,ATL,RB,1,1,1,6,6,6.0,0.2,6,100.0,0.0,1.6,2.6,0,0.0,0.0,0,0
Royce Freeman,DEN,RB,1,2,2,6,3,1.5,0.2,3,100.0,0.0,1.1,7.1,3,1.5,50.0,0,0
Mike Thomas,CIN,WR,1,1,1,5,5,5.0,0.2,5,100.0,0.0,1.3,2.9,0,0.0,0.0,0,0
Gabe Nabers,LAC,FB,1,1,1,5,2,2.0,0.3,2,100.0,0.0,1.1,4.0,3,3.0,60.0,0,0
Ian Thomas,CAR,TE,1,5,2,5,49,9.8,1.1,3,40.0,0.0,21.1,13.9,2,1.0,40.0,0,0
Johnny Mundt,LAR,TE,1,1,1,5,3,3.0,0.3,3,100.0,0.0,1.6,3.1,2,2.0,40.0,0,0
Deon Yelder,KC,TE,1,1,1,5,4,4.0,0.3,4,100.0,0.0,1.8,3.4,1,1.0,20.0,0,0
Rex Burkhead,NE,RB,1,1,1,5,3,3.0,0.1,3,100.0,0.0,1.1,2.9,2,2.0,40.0,0,0
Larry Fitzgerald,ARI,WR,1,3,2,4,18,6.0,0.3,2,66.7,0.0,9.0,9.7,2,1.0,50.0,0,0
Keith Smith,ATL,FB,1,1,1,4,0,0.0,0.0,0,100.0,0.0,0.0,2.6,4,4.0,100.0,0,0
Devin Duvernay,BAL,WR,1,2,1,4,19,9.5,1.2,2,50.0,0.0,5.4,8.7,2,2.0,50.0,0,0
Jason Cabinda,DET,FB,1,1,1,4,0,0.0,0.0,0,100.0,0.0,0.0,3.3,4,4.0,100.0,0,0
Kerryon Johnson,DET,RB,1,1,1,3,0,0.0,0.0,0,100.0,0.0,0.0,3.3,3,3.0,100.0,0,0
Chandler Cox,MIA,FB,1,1,1,3,0,0.0,0.0,0,100.0,0.0,0.0,2.2,3,3.0,100.0,0,0
Andy Isabella,ARI,WR,1,3,2,3,20,6.7,0.8,-9,66.7,33.3,10.0,9.7,12,6.0,400.0,0,0
Jordan Thomas,ARI,TE,1,1,1,3,3,3.0,3.0,3,100.0,0.0,1.5,3.2,0,0.0,0.0,0,0
Travis Homer,SEA,RB,1,1,1,3,3,3.0,0.2,3,100.0,0.0,1.0,3.0,0,0.0,0.0,0,0
Michael Burton,NO,FB,1,1,1,3,3,3.0,0.2,3,100.0,0.0,1.3,4.0,0,0.0,0.0,0,0
Cameron Brate,TB,TE,1,1,1,3,3,3.0,0.2,3,100.0,0.0,0.7,2.2,0,0.0,0.0,0,0
LeSean McCoy,TB,RB,1,1,1,3,-4,-4.0,-0.8,-4,100.0,0.0,-1.0,2.2,7,7.0,233.3,0,0
Mark Ingram,BAL,RB,1,1,1,3,3,3.0,0.2,3,100.0,0.0,0.9,4.3,0,0.0,0.0,0,0
