,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Xavien Howard,MIA,CB,16,64.0,42.0,6,48,1.0,0,0,4,1
Bobby McCain,MIA,S,16,54.0,36.0,12,48,1.0,0,0,2,0
Justin Ellis,OAK,DE,16,49.0,27.0,21,48,0.5,0,0,0,0
Prince Amukamara,CHI,CB,14,50.0,45.0,3,48,0.0,0,1,0,0
Korey Toomer,LAC,LB,15,62.0,30.0,18,48,1.0,2,0,1,1
Dominique Rodgers-Cromartie,NYG,CB,15,49.0,31.0,17,48,0.5,0,0,0,0
Ndamukong Suh,MIA,DE,16,61.0,29.0,19,48,4.5,2,0,0,0
Brandon Graham,PHI,DE,15,78.0,33.0,14,47,9.5,2,1,0,1
Patrick Robinson,PHI,CB,16,57.0,39.0,8,47,1.0,0,0,4,0
Gerald McCoy,TB,DT,15,59.0,33.0,14,47,6.0,0,0,0,0
Johnathan Joseph,HOU,CB,16,57.0,37.0,10,47,0.0,0,0,2,1
Nevin Lawson,DET,CB,15,57.0,40.0,7,47,0.0,1,1,0,1
Barkevious Mingo,IND,LB,16,63.0,35.0,12,47,2.0,3,3,0,0
P.J. Williams,NO,CB,16,51.0,34.0,13,47,0.0,0,0,2,0
Damarious Randall,GB,S,14,63.0,38.0,9,47,0.0,0,1,4,1
Leonard Williams,NYJ,DE,16,53.0,22.0,25,47,2.0,0,0,1,0
D.J. Reader,HOU,DT,14,49.0,23.0,24,47,1.0,0,0,0,0
Marcus Peters,KC,CB,14,74.0,42.0,4,46,0.0,4,2,5,1
Carlos Dunlap,CIN,DE,16,71.0,35.0,11,46,7.5,1,0,1,1
Geno Atkins,CIN,DT,16,64.0,29.0,17,46,9.0,0,0,0,0
Steve McLendon,NYJ,DT,16,49.0,30.0,16,46,1.5,0,0,0,0
Muhammad Wilkerson,NYJ,DE,13,55.0,26.0,20,46,3.5,0,0,1,0
Ryan Kerrigan,WAS,DE,16,86.0,34.0,12,46,13.0,3,0,1,1
Byron Maxwell,MIA/SEA,CB,9,52.0,39.0,7,46,0.0,2,0,1,0
Cameron Heyward,PIT,DE,15,75.0,30.0,15,45,12.0,2,1,0,0
Sam Acho,CHI,LB,16,53.0,29.0,16,45,3.0,1,0,0,0
Everson Griffen,MIN,DE,15,77.0,31.0,14,45,13.0,3,0,0,0
Kevin Johnson,HOU,CB,12,45.0,35.0,10,45,0.0,0,0,0,0
Danielle Hunter,MIN,DE,16,63.0,27.0,18,45,7.0,1,1,0,0
T.J. McDonald,MIA,S,8,47.0,31.0,14,45,0.0,0,0,1,0
Aaron Colvin,JAX,CB,16,47.0,38.0,7,45,0.0,0,1,0,0
Jarran Reed,SEA,DT,15,50.0,23.0,22,45,1.5,1,0,0,0
T.J. Green,IND,S,16,45.0,31.0,14,45,0.0,0,0,0,0
Jonathan Jones,NE,CB,16,48.0,39.0,5,44,1.0,0,0,1,0
Reggie Ragland,KC,LB,12,44.0,31.0,13,44,0.0,0,0,0,0
D.J. Hayden,DET,CB,16,55.0,36.0,8,44,0.5,0,2,0,1
Stacy McGee,WAS,DT,16,44.0,24.0,20,44,0.0,0,0,0,0
Eddie Goldman,CHI,DT,15,49.0,27.0,17,44,1.5,0,1,0,0
Jerry Hughes,BUF,DE,16,54.0,28.0,16,44,4.0,1,0,0,0
Al Woods,IND,DT,16,46.0,20.0,24,44,1.0,0,0,0,0
Brian Orakpo,TEN,LB,16,64.0,30.0,14,44,7.0,3,0,0,0
Shareece Wright,BUF,CB,12,48.0,37.0,7,44,0.0,1,0,1,0
Davon House,GB,CB,12,48.0,37.0,7,44,1.0,0,0,1,0
Mario Addison,CAR,DE,16,70.0,27.0,17,44,11.0,2,0,0,0
Johnathan Hankins,IND,DT,15,48.0,24.0,20,44,2.0,0,0,0,0
Sheldon Richardson,SEA,DT,15,54.0,27.0,17,44,1.0,1,2,1,0
Ezekiel Ansah,DET,DE,14,72.0,39.0,5,44,12.0,1,1,0,0
Alex Okafor,NO,DE,10,56.0,27.0,16,43,4.5,2,0,0,0
Morris Claiborne,NYJ,CB,15,45.0,34.0,9,43,0.0,0,0,1,0
Clay Matthews,GB,LB,14,62.0,27.0,16,43,7.5,1,1,0,0
Frank Zombo,KC,LB,16,48.0,26.0,17,43,1.5,0,1,0,0
T.J. Ward,TB,S,12,45.0,31.0,12,43,0.0,0,1,0,0
Dexter McDonald,OAK,CB,15,45.0,36.0,7,43,0.0,1,0,0,0
Justin Coleman,SEA,CB,16,62.0,32.0,11,43,1.5,0,0,2,2
Josh Martin,NYJ,LB,14,46.0,28.0,15,43,1.5,0,0,0,0
John Simon,IND,LB,9,57.0,28.0,15,43,3.0,0,0,1,1
Anthony Zettel,DET,DE,16,60.0,31.0,12,43,6.5,1,1,0,0
Vernon Hargreaves,TB,CB,9,42.0,37.0,5,42,0.0,0,0,0,0
Xavier Woods,DAL,S,16,46.0,33.0,9,42,0.0,0,1,1,0
Bradley Roby,DEN,CB,16,50.0,35.0,7,42,1.0,1,1,1,0
Preston Smith,WAS,LB,16,66.0,31.0,11,42,8.0,1,1,2,0
Vinny Curry,PHI,DE,16,50.0,25.0,17,42,3.0,1,0,0,0
Brooks Reed,ATL,LB,16,49.0,23.0,18,41,4.0,0,0,0,0
Desmond Trufant,ATL,CB,15,57.0,36.0,5,41,1.0,0,2,2,1
Justin Bethel,ARI,S,16,49.0,29.0,12,41,0.0,0,0,1,1
Tramon Williams,ARI,CB,13,47.0,39.0,2,41,0.0,0,1,2,0
Kyle Williams,BUF,DT,16,49.0,21.0,20,41,3.0,0,1,0,0
Kevin Pierre-Louis,KC,LB,14,41.0,31.0,10,41,0.0,0,0,0,0
Steven Nelson,KC,CB,9,43.0,33.0,8,41,0.0,1,0,0,0
Devon Kennard,NYG,LB,15,51.0,24.0,17,41,4.0,0,1,0,0
Aaron Donald,LAR,DE,14,75.0,32.0,9,41,11.0,5,1,0,0
Solomon Thomas,SF,DT,14,49.0,34.0,7,41,3.0,0,1,0,0
Adam Gotsis,DEN,DE,16,47.0,28.0,13,41,2.0,0,1,0,0
Trevon Coley,CLE,DT,15,47.0,24.0,17,41,2.0,0,1,0,0
Davon Godchaux,MIA,DT,15,42.0,26.0,14,40,0.0,1,0,0,0
Chase Allen,MIA,LB,16,42.0,29.0,11,40,0.0,1,0,0,0
Darryl Roberts,NYJ,CB,15,42.0,37.0,3,40,0.0,0,0,1,0
Bud Dupree,PIT,LB,15,54.0,31.0,9,40,6.0,0,1,0,0
Michael Bennett,SEA,DE,16,57.0,25.0,15,40,8.5,0,0,0,0
Malik Jackson,JAX,DT,16,64.0,31.0,9,40,8.0,4,0,0,0
Casey Hayward,LAC,CB,16,54.0,33.0,7,40,0.0,1,2,4,0
Chris Harris,DEN,CB,16,46.0,32.0,8,40,0.0,1,0,2,0
Dontari Poe,ATL,DT,16,44.0,23.0,16,39,2.5,0,0,0,0
Tyson Alualu,PIT,DE,16,47.0,25.0,14,39,4.0,0,0,0,0
Lardarius Webb,BAL,CB,16,49.0,37.0,2,39,2.0,1,0,2,0
Akeem Spence,DET,DT,16,47.0,19.0,20,39,3.0,1,0,0,0
Briean Boddy-Calhoun,CLE,CB,13,39.0,29.0,10,39,0.0,0,0,0,0
David Onyemata,NO,DT,16,42.0,18.0,20,38,2.0,0,0,0,0
Miles Killebrew,DET,S,16,48.0,32.0,6,38,0.0,1,0,1,1
Josh Hawkins,GB,CB,15,40.0,28.0,10,38,0.0,1,0,0,0
Jordan Evans,CIN,LB,15,38.0,27.0,11,38,0.0,0,0,0,0
Kayvon Webster,LAR,CB,11,40.0,34.0,4,38,0.0,0,0,1,0
Corey Graham,PHI,S,14,42.0,34.0,4,38,0.0,0,0,2,0
Domata Peko,DEN,DT,14,42.0,24.0,14,38,1.0,0,1,0,0
Orlando Scandrick,DAL,CB,11,38.0,32.0,6,38,0.0,0,0,0,0
Nick Perry,GB,LB,12,56.0,23.0,15,38,7.0,1,1,0,0
Allen Bailey,KC,DE,14,42.0,21.0,17,38,2.0,0,0,0,0
Olivier Vernon,NYG,DE,12,56.0,23.0,14,37,6.5,2,0,1,0
Denzel Perryman,LAC,LB,7,39.0,25.0,12,37,0.0,0,1,0,0
