,,,,Week 2 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
383,Jamal Agnew,DET,WR,GB,GB,7,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
384,Donovan Peoples-Jones,CLE,WR,CIN,CLE,-6.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
385,Kyle Allen,WAS,QB,ARI,ARI,7,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
386,Malcolm Perry,MIA,WR,BUF,BUF,5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
387,Geronimo Allison,DET,WR,GB,GB,7,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
388,C.J. Prosise,HOU,RB,BAL,BAL,7,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
389,Stephen Anderson,LAC,TE,KC,KC,8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
390,Richard Rodgers,PHI,TE,LAR,PHI,-2.0,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
391,Ryquell Armstead,JAX,RB,TEN,TEN,7,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
392,Matt Schaub,ATL,QB,DAL,DAL,3,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
393,Antony Auclair,TB,TE,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
394,David Sills,NYG,WR,CHI,CHI,4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
395,Tavon Austin,SF,WR,NYJ,SF,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
396,Vyncint Smith,NYJ,WR,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
397,Matt Barkley,BUF,QB,MIA,BUF,-5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
398,Diontae Spencer,DEN,WR,PIT,PIT,6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
399,Marcus Baugh,WAS,TE,ARI,ARI,7,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
400,Chris Streveler,ARI,QB,WAS,ARI,-7.0,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
401,Omar Bayless,CAR,WR,TB,TB,7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
402,Tua Tagovailoa,MIA,QB,BUF,BUF,5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
403,C.J. Beathard,SF,QB,NYJ,SF,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
404,De'Anthony Thomas,BAL,WR,HOU,BAL,-7.0,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
405,Andrew Beck,DEN,TE,PIT,PIT,6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
406,Colin Thompson,CAR,TE,TB,TB,7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
407,Chad Beebe,MIN,WR,IND,IND,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
408,C.J. Uzomah,CIN,TE,CLE,CLE,6,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
409,Le'Veon Bell,NYJ,RB,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
410,Kahale Warring,HOU,TE,BAL,BAL,7,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
411,LeVante Bellamy,DEN,RB,PIT,PIT,6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
412,Trevon Wesco,NYJ,TE,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
413,Eno Benjamin,ARI,RB,WAS,ARI,-7.0,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
414,Mike White,NYJ,QB,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
415,Travis Benjamin,SF,WR,NYJ,SF,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
416,Maxx Williams,ARI,TE,WAS,ARI,-7.0,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
417,Christian Blake,ATL,WR,DAL,DAL,3,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
418,Jeff Wilson,SF,RB,NYJ,SF,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
419,C.J. Board,NYG,WR,CHI,CHI,4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
420,Logan Woodside,TEN,QB,JAX,TEN,-7.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
421,Brandon Bolden,NE,RB,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
422,Olamide Zaccheaus,ATL,WR,DAL,DAL,3,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
423,Tim Boyle,GB,QB,DET,GB,-7.0,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
424,Brycen Hopkins,LAR,TE,PHI,PHI,2,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
425,Jacob Breeland,BAL,TE,HOU,BAL,-7.0,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
426,Brian Hoyer,NE,QB,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
427,Jacoby Brissett,IND,QB,MIN,IND,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
428,Brett Hundley,ARI,QB,WAS,ARI,-7.0,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
429,Pharaoh Brown,HOU,TE,BAL,BAL,7,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
430,Jalen Hurd,SF,WR,NYJ,SF,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
431,Noah Brown,DAL,WR,ATL,DAL,-3.0,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
432,John Hurst,TB,WR,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
433,Daniel Brown,NYJ,TE,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
434,Justin Jackson,LAC,RB,KC,KC,8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
435,A.J. Brown,TEN,WR,JAX,TEN,-7.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
436,Richie James,SF,WR,NYJ,SF,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
437,Hunter Bryant,DET,TE,GB,GB,7,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
438,Alshon Jeffery,PHI,WR,LAR,PHI,-2.0,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
439,Ventell Bryant,DAL,WR,ATL,DAL,-3.0,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
440,Duke Johnson,HOU,RB,BAL,BAL,7,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
441,Trey Burton,IND,TE,MIN,IND,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
442,D'Ernest Johnson,CLE,RB,CIN,CLE,-6.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
443,Jake Butt,DEN,TE,PIT,PIT,6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
444,Xavier Jones,LAR,RB,PHI,PHI,2,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
445,Raymond Calais,LAR,RB,PHI,PHI,2,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
446,Case Keenum,CLE,QB,CIN,CLE,-6.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
447,Marquez Callaway,NO,WR,LV,NO,-4.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
448,Keith Kirkwood,CAR,WR,TB,TB,7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
449,Trenton Cannon,CAR,RB,TB,TB,7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
450,Matt LaCosse,NE,TE,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
451,Stephen Carlson,CLE,TE,CIN,CLE,-6.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
452,Phillip Lindsay,DEN,RB,PIT,PIT,6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
453,Derek Carrier,LV,TE,NO,NO,4,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
454,Bryce Love,WAS,RB,ARI,ARI,7,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
455,Cethan Carter,CIN,TE,CLE,CLE,6,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
456,Jake Luton,JAX,QB,TEN,TEN,7,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
457,Dan Chisena,MIN,WR,IND,IND,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
458,Sean Mannion,MIN,QB,IND,IND,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
459,Darion Clark,CHI,TE,NYG,CHI,-4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
460,AJ McCarron,HOU,QB,BAL,BAL,7,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
461,Tyrie Cleveland,DEN,WR,PIT,PIT,6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
462,Colt McCoy,NYG,QB,CHI,CHI,4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
463,Tyler Conklin,MIN,TE,IND,IND,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
464,Jeremy McNichols,TEN,RB,JAX,TEN,-7.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
465,Cody Core,NYG,WR,CHI,CHI,4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
466,Jaydon Mickens,TB,WR,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
467,Isaiah Coulter,HOU,WR,BAL,BAL,7,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
468,Ty Montgomery,NO,RB,LV,NO,-4.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
469,Jamison Crowder,NYJ,WR,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
470,Chris Moore,BAL,WR,HOU,BAL,-7.0,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
471,DeeJay Dallas,SEA,RB,NE,SEA,-4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
472,Thaddeus Moss,WAS,TE,ARI,ARI,7,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
473,Andy Dalton,DAL,QB,ATL,DAL,-3.0,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
474,Johnny Mundt,LAR,TE,PHI,PHI,2,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
475,Chase Daniel,DET,QB,GB,GB,7,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
476,David Njoku,CLE,TE,CIN,CLE,-6.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
477,Tyler Davis,JAX,TE,TEN,TEN,7,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
478,Albert Okwuegbunam,DEN,TE,PIT,PIT,6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
479,Josiah Deguara,GB,TE,DET,GB,-7.0,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
480,Qadree Ollison,ATL,RB,DAL,DAL,3,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
481,Ben DiNucci,DAL,QB,ATL,DAL,-3.0,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
482,Devine Ozigbo,JAX,RB,TEN,TEN,7,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
483,Joshua Dobbs,PIT,QB,DEN,PIT,-6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
484,Colby Parkinson,SEA,TE,NE,SEA,-4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
485,Josh Doctson,NYJ,WR,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
486,Rashaad Penny,SEA,RB,NE,SEA,-4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
487,Phillip Dorsett,SEA,WR,NE,SEA,-4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
488,Samaje Perine,CIN,RB,CLE,CLE,6,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
489,Rico Dowdle,DAL,RB,ATL,DAL,-3.0,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
490,Senorise Perry,TEN,RB,JAX,TEN,-7.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
491,Jack Doyle,IND,TE,MIN,IND,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
492,Nathan Peterman,LV,QB,NO,NO,4,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
493,Jeff Driskel,DEN,QB,PIT,PIT,6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
494,Brandon Powell,ATL,WR,DAL,DAL,3,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
495,Ashton Dulin,IND,WR,MIN,IND,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
496,MyCole Pruitt,TEN,TE,JAX,TEN,-7.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
497,Jacob Eason,IND,QB,MIN,IND,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
498,Andre Roberts,BUF,WR,MIA,BUF,-5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
499,Darrynton Evans,TEN,RB,JAX,TEN,-7.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
500,Mason Rudolph,PIT,QB,DEN,PIT,-6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
501,Ryan Finley,CIN,QB,CLE,CLE,6,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
502,Bo Scarbrough,DET,RB,GB,GB,7,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
503,Joe Flacco,NYJ,QB,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
504,Da'Mari Scott,NYG,WR,CHI,CHI,4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
505,Nick Foles,CHI,QB,NYG,CHI,-4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
506,Trent Sherfield,ARI,WR,WAS,ARI,-7.0,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
507,Austin Fort,DEN,TE,PIT,PIT,6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
508,Cam Sims,WAS,WR,ARI,ARI,7,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
509,Daurice Fountain,IND,WR,MIN,IND,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
510,Jeff Smith,NYJ,WR,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
511,Bennie Fowler,NO,WR,LV,NO,-4.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
512,Alex Smith,WAS,QB,ARI,ARI,7,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
513,John Franklin,TB,WR,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
514,Lee Smith,BUF,TE,MIA,BUF,-5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
515,Jake Fromm,BUF,QB,MIA,BUF,-5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
516,Equanimeous St. Brown,GB,WR,DET,GB,-7.0,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
517,Devin Funchess,GB,WR,DET,GB,-7.0,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
518,Jarrett Stidham,NE,QB,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
519,Blaine Gabbert,TB,QB,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
520,Nate Sudfeld,PHI,QB,LAR,PHI,-2.0,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
521,Rico Gafford,LV,WR,NO,NO,4,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
522,Tommy Sweeney,BUF,TE,MIA,BUF,-5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
523,Wayne Gallman,NYG,RB,CHI,CHI,4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
524,Auden Tate,CIN,WR,CLE,CLE,6,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
525,Zach Gentry,PIT,TE,DEN,PIT,-6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
526,Patrick Taylor,GB,RB,DET,GB,-7.0,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
527,Ted Ginn,CHI,WR,NYG,CHI,-4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
528,Jordan Thomas,ARI,TE,WAS,ARI,-7.0,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
529,Mike Glennon,JAX,QB,TEN,TEN,7,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
530,Chris Thompson,SF,WR,NYJ,SF,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
531,Chris Godwin,TB,WR,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
532,Noah Togiai,IND,TE,MIN,IND,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
533,Kenny Golladay,DET,WR,GB,GB,7,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
534,Eric Tomlinson,NYG,TE,CHI,CHI,4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
535,Marquise Goodwin,PHI,WR,LAR,PHI,-2.0,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
536,Jason Vander Laan,NO,TE,LV,NO,-4.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
537,Josh Gordon,SEA,WR,NE,SEA,-4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
538,P.J. Walker,CAR,QB,TB,TB,7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
539,Cyril Grayson,TB,WR,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
540,Dwayne Washington,NO,RB,LV,NO,-4.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
541,Will Grier,CAR,QB,TB,TB,7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
542,Nsimba Webster,LAR,WR,PHI,PHI,2,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
543,Robert Griffin,BAL,QB,HOU,BAL,-7.0,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
544,Antoine Wesley,BAL,WR,HOU,BAL,-7.0,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
545,Ryan Griffin,TB,QB,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
546,DeAndrew White,BAL,WR,HOU,BAL,-7.0,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
547,Stephen Guidry,DAL,WR,ATL,DAL,-3.0,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
548,James White,NE,RB,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
549,Emanuel Hall,WAS,WR,ARI,ARI,7,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
550,Tyrell Williams,LV,WR,NO,NO,4,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
551,Kelvin Harmon,WAS,WR,ARI,ARI,7,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
552,Trayveon Williams,CIN,RB,CLE,CLE,6,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
553,Damien Harris,NE,RB,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
554,Luke Willson,SEA,TE,NE,SEA,-4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
555,Penny Hart,SEA,WR,NE,SEA,-4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
556,Albert Wilson,MIA,WR,BUF,BUF,5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557,Chad Henne,KC,QB,LAC,KC,-8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
558,John Wolford,LAR,QB,PHI,PHI,2,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
559,Justin Herbert,LAC,QB,KC,KC,8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
560,Isaiah Wright,WAS,WR,ARI,ARI,7,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
561,Justice Hill,BAL,RB,HOU,BAL,-7.0,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
562,T.J. Yeldon,BUF,RB,MIA,BUF,-5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
563,Isaiah Hodgins,BUF,WR,MIA,BUF,-5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
564,Brandon Zylstra,CAR,WR,TB,TB,7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
565,J.P. Holtz,CHI,TE,NYG,CHI,-4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
