,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Malik Jackson,PHI,DT,1,3.0,2,1,3,0.0,0,0,0,0
Derek Wolfe,BAL,DE,1,3.0,1,2,3,0.0,0,0,0,0
P.J. Hall,HOU,DT,1,3.0,1,2,3,0.0,0,0,0,0
Tedric Thompson,KC,S,1,3.0,2,1,3,0.0,0,0,0,0
Ogbonnia Okoronkwo,LAR,LB,1,3.0,1,2,3,0.0,0,0,0,0
Sebastian Joseph-Day,LAR,DT,1,3.0,3,0,3,0.0,0,0,0,0
Shaquill Griffin,SEA,CB,1,3.0,3,0,3,0.0,0,0,0,0
Tyus Bowser,BAL,LB,1,5.0,3,0,3,1.0,0,0,0,0
Chris Jones,KC,DT,1,3.0,2,1,3,0.0,0,0,0,0
Chase Winovich,NE,DE,1,4.0,1,2,3,0.5,0,0,0,0
Bradley Chubb,DEN,LB,1,3.0,3,0,3,0.0,0,0,0,0
Jarran Reed,SEA,DT,1,3.0,2,1,3,0.0,0,0,0,0
Derek Barnett,PHI,DE,1,3.0,1,2,3,0.0,0,0,0,0
Bobby Okereke,IND,LB,1,3.0,2,1,3,0.0,0,0,0,0
Sam Hubbard,CIN,DE,1,3.0,1,2,3,0.0,0,0,0,0
Myles Garrett,CLE,DE,1,7.0,3,0,3,1.0,1,0,0,0
Amani Oruwariye,DET,CB,1,3.0,3,0,3,0.0,0,0,0,0
D.J. Jones,SF,DT,1,3.0,3,0,3,0.0,0,0,0,0
Michael Danna,KC,DE,1,5.0,1,2,3,1.0,0,0,0,0
Takkarist McKinley,ATL,DE,1,3.0,2,1,3,0.0,0,0,0,0
Donte Jackson,CAR,CB,1,5.0,1,2,3,0.0,0,0,1,0
Josh Sweat,PHI,DE,1,3.0,2,1,3,0.0,0,0,0,0
Kyle Phillips,NYJ,DE,1,3.0,2,1,3,0.0,0,0,0,0
Denzel Ward,CLE,CB,1,3.0,2,1,3,0.0,0,0,0,0
Dorance Armstrong,DAL,LB,1,3.0,1,2,3,0.0,0,0,0,0
DaVon Hamilton,JAX,DT,1,3.0,0,3,3,0.0,0,0,0,0
Rashad Fenton,KC,CB,1,3.0,2,1,3,0.0,0,0,0,0
Khari Willis,IND,S,1,5.0,3,0,3,0.0,0,0,1,0
Kristian Fulton,TEN,CB,1,5.0,3,0,3,0.0,0,0,1,0
Vernon Scott,GB,S,1,5.0,3,0,3,1.0,0,0,0,0
Joe Jackson,CLE,DE,1,5.0,1,2,3,0.0,0,1,0,0
Trayvon Mullen,LV,CB,1,3.0,3,0,3,0.0,0,0,0,0
Krys Barnes,GB,LB,1,3.0,1,2,3,0.0,0,0,0,0
Jeffery Simmons,TEN,DE,1,3.0,0,3,3,0.0,0,0,0,0
