,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Isaiah Ford,MIA,WR,1,1.3,0,0,0,0,0,0,0,0,2,5,13,0,0,0
Levine Toilolo,NYG,TE,1,1.3,0,0,0,0,0,0,0,0,1,1,13,0,0,0
Jordan Reed,SF,TE,1,1.2,0,0,0,0,0,0,0,0,2,2,12,0,0,0
KhaDarel Hodge,CLE,WR,1,1.2,0,0,0,0,0,0,0,0,1,3,12,0,0,0
Blake Jarwin,DAL,TE,1,1.2,0,0,0,0,0,0,0,0,1,1,12,0,0,0
Cordarrelle Patterson,CHI,WR,1,3.1,0,0,0,0,0,4,19,0,1,1,12,0,0,0
Royce Freeman,DEN,RB,1,1.2,0,0,0,0,0,1,0,0,1,1,12,0,0,0
Josiah Deguara,GB,TE,1,1.2,0,0,0,0,0,0,0,0,1,2,12,0,0,0
Devin Duvernay,BAL,WR,1,1.2,0,0,0,0,0,0,0,0,1,1,12,0,0,0
Irv Smith,MIN,TE,1,1.1,0,0,0,0,0,0,0,0,1,1,11,0,0,0
Dalton Schultz,DAL,TE,1,1.1,0,0,0,0,0,0,0,0,1,4,11,0,0,0
Phillip Lindsay,DEN,RB,1,3.5,0,0,0,0,0,7,24,0,1,1,11,0,0,0
Rob Gronkowski,TB,TE,1,1.1,0,0,0,0,0,0,0,0,2,3,11,0,0,0
Virgil Green,LAC,TE,1,1.0,0,0,0,0,0,0,0,0,1,2,10,0,0,0
Aaron Jones,GB,RB,1,13.6,0,0,0,0,0,16,66,1,4,6,10,0,1,0
Michael Pittman,IND,WR,1,1.0,0,0,0,0,0,0,0,0,2,2,10,0,0,0
David Montgomery,CHI,RB,1,7.4,0,0,0,0,0,13,64,0,1,3,10,0,0,0
Bryan Edwards,LV,WR,1,0.9,0,0,0,0,0,0,0,0,1,1,9,0,0,0
Patrick Laird,MIA,RB,1,0.9,0,0,0,0,0,0,0,0,2,2,9,0,0,0
Rashard Higgins,CLE,WR,1,0.9,0,0,0,0,0,0,0,0,1,1,9,0,0,0
Kareem Hunt,CLE,RB,1,8.1,0,0,0,0,0,13,72,0,4,6,9,0,1,0
Evan Engram,NYG,TE,1,0.9,0,0,0,0,0,0,0,0,2,7,9,0,0,0
Patrick Ricard,BAL,FB,1,0.8,0,0,0,0,0,1,-1,0,1,1,9,0,1,1
Jacob Hollister,SEA,TE,1,0.9,0,0,0,0,0,0,0,0,1,1,9,0,0,0
Melvin Gordon,DEN,RB,1,14.6,0,0,0,0,0,15,78,1,3,3,8,0,1,1
DeAndre Carter,HOU,WR,1,0.8,0,0,0,0,0,0,0,0,1,2,8,0,0,0
James Conner,PIT,RB,1,1.7,0,0,0,0,0,6,9,0,2,4,8,0,0,0
Tyler Eifert,JAX,TE,1,0.8,0,0,0,0,0,0,0,0,1,1,8,0,0,0
Will Dissly,SEA,TE,1,0.8,0,0,0,0,0,0,0,0,2,2,8,0,0,0
Brian Hill,ATL,RB,1,2.0,0,0,0,0,0,3,12,0,2,2,8,0,0,0
Antonio Gibson,WAS,RB,1,4.4,0,0,0,0,0,9,36,0,2,2,8,0,0,0
Tyrie Cleveland,DEN,WR,1,0.7,0,0,0,0,0,0,0,0,1,1,7,0,0,0
Darrel Williams,KC,RB,1,3.0,0,0,0,0,0,7,23,0,2,2,7,0,0,0
Drew Sample,CIN,TE,1,0.7,0,0,0,0,0,0,0,0,1,1,7,0,0,0
Gerald Everett,LAR,TE,1,0.7,0,0,0,0,0,0,0,0,1,2,7,0,0,0
Trent Taylor,SF,WR,1,0.7,0,0,0,0,0,0,0,0,2,5,7,0,0,0
Tarik Cohen,CHI,RB,1,4.7,0,0,0,0,0,7,41,0,2,2,6,0,0,0
Tevin Coleman,SF,RB,1,2.4,0,0,0,0,0,4,18,0,1,2,6,0,0,0
Chris Thompson,JAX,RB,1,0.6,0,0,0,0,0,0,0,0,2,2,6,0,0,0
Tyler Ervin,GB,RB,1,4.4,0,0,0,0,0,3,38,0,1,1,6,0,0,0
Chris Conley,JAX,WR,1,0.6,0,0,0,0,0,0,0,0,1,1,6,0,0,0
Nick Chubb,CLE,RB,1,6.6,0,0,0,0,0,10,60,0,1,1,6,0,1,1
Justin Watson,TB,WR,1,0.6,0,0,0,0,0,0,0,0,1,2,6,0,0,0
Mecole Hardman,KC,WR,1,0.6,0,0,0,0,0,0,0,0,1,1,6,0,0,0
Harrison Bryant,CLE,TE,1,0.5,0,0,0,0,0,0,0,0,1,2,5,0,0,0
Khari Blasingame,TEN,RB,1,0.5,0,0,0,0,0,0,0,0,1,1,5,0,0,0
Kenyan Drake,ARI,RB,1,12.5,0,0,0,0,0,16,60,1,2,2,5,0,0,0
Seth Roberts,CAR,WR,1,0.5,0,0,0,0,0,0,0,0,1,2,5,0,0,0
Anthony Firkser,TEN,TE,1,0.5,0,0,0,0,0,0,0,0,2,2,5,0,0,0
Chris Manhertz,CAR,TE,1,0.4,0,0,0,0,0,0,0,0,1,1,4,0,0,0
Tre'Quan Smith,NO,WR,1,0.4,0,0,0,0,0,0,0,0,1,1,4,0,0,0
Travis Homer,SEA,RB,1,0.3,0,0,0,0,0,3,-1,0,2,2,4,0,0,0
J.J. Taylor,NE,RB,1,3.2,0,0,0,0,0,4,28,0,1,1,4,0,0,0
Cam Akers,LAR,RB,1,4.3,0,0,0,0,0,14,39,0,1,1,4,0,0,0
Vance McDonald,PIT,TE,1,0.3,0,0,0,0,0,0,0,0,1,2,3,0,0,0
Austin Ekeler,LAC,RB,1,8.7,0,0,0,0,0,19,84,0,1,1,3,0,0,0
Nick Boyle,BAL,TE,1,0.3,0,0,0,0,0,0,0,0,2,3,3,0,0,0
Joe Mixon,CIN,RB,1,7.1,0,0,0,0,0,19,69,0,1,2,2,0,1,1
