,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
DeMarco Murray,TEN,RB,16,67,53,377,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jared Cook,GB,TE,10,51,30,377,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Theo Riddick,DET,RB,10,67,53,371,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Devin Funchess,CAR,WR,15,58,23,371,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Eddie Royal,CHI,WR,9,43,33,369,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Nelson Agholor,PHI,WR,15,69,36,365,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Ezekiel Elliott,DAL,RB,15,40,32,363,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Clive Walford,OAK,TE,15,52,33,359,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
LeSean McCoy,BUF,RB,15,57,50,356,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Garrett Celek,SF,TE,16,50,29,350,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Chris Thompson,WAS,RB,16,62,49,349,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Ty Montgomery,GB,RB,15,56,44,348,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Russell Shepard,TB,WR,14,40,23,341,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jesse James,PIT,TE,16,60,39,338,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Giovani Bernard,CIN,RB,10,51,39,336,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Kamar Aiken,BAL,WR,16,50,29,328,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Trey Burton,PHI,TE,15,60,37,327,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Todd Gurley,LAR,RB,16,58,43,327,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Andrew Hawkins,CLE,WR,16,54,33,324,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Aldrick Robinson,ATL,WR,16,32,20,323,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Mark Ingram,NO,RB,16,58,46,319,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Isaiah Crowell,CLE,RB,16,53,40,319,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
T.J. Yeldon,JAX,RB,15,68,50,312,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Donte Moncrief,IND,WR,9,56,30,307,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Ladarius Green,PIT,TE,6,34,18,304,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jordan Howard,CHI,RB,15,50,29,298,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Erik Swoope,IND,TE,16,22,15,297,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Paul Richardson,SEA,WR,15,36,21,288,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
