,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
Neal Sterling,JAX,TE,10,12,110,0,16,1,0,0,1.37
Pharoh Cooper,LAR,WR,10,14,106,0,20,0,0,0,0.00
James Wright,CIN,WR,13,13,106,0,19,0,0,0,0.00
Braxton Miller,HOU,WR,10,15,99,1,28,11,4,1,14.67
Jacquizz Rodgers,TB,RB,10,13,98,0,16,2,0,0,2.82
Roger Lewis,NYG,WR,13,7,97,2,19,1,1,1,1.54
Christine Michael,SEA,RB,9,20,96,1,26,3,2,0,3.95
Thomas Rawls,SEA,RB,9,13,96,0,17,1,0,0,1.32
Dion Lewis,NE,RB,7,17,94,0,24,3,1,0,3.85
Shane Vereen,NYG,RB,5,11,94,0,19,3,0,0,4.62
Jonathan Grimes,HOU,RB,10,13,94,0,18,3,1,1,4.00
Jeff Janis,GB,WR,16,11,93,1,19,2,2,1,1.75
Stephen Anderson,HOU,TE,13,11,93,1,16,4,2,1,5.33
TJ Jones,DET,WR,3,5,93,0,14,2,0,0,2.33
Larry Donnell,NYG,TE,14,15,92,1,22,3,2,1,4.62
Tyler Kroft,CIN,TE,14,10,92,0,12,1,0,0,1.49
Benny Cunningham,LAR,RB,11,16,91,0,21,3,1,1,5.45
Reggie Bush,BUF,RB,13,7,90,0,10,2,1,1,3.77
Greg Salas,BUF,WR,2,4,89,1,6,1,0,0,1.89
Aaron Burbridge,SF,WR,16,7,88,0,16,2,0,0,3.92
Darren Waller,BAL,TE,12,10,85,2,17,7,4,4,10.29
Andre Johnson,TEN,WR,8,9,85,2,23,3,2,1,4.29
Andre Ellington,ARI,RB,16,12,85,0,19,1,0,0,1.23
Tyler Higbee,LAR,TE,16,11,85,1,29,5,2,1,9.09
Blake Bell,SF,TE,13,4,85,0,9,2,0,0,3.92
Alex Collins,SEA,RB,11,11,84,0,11,1,0,0,1.32
Anthony Fasano,TEN,TE,16,8,83,2,14,2,1,0,2.86
Derek Watt,SD,FB,16,4,83,0,4,0,0,0,0.00
Rob Kelley,WAS,RB,15,12,82,1,18,2,2,1,2.47
Brittan Golden,ARI,WR,12,8,82,1,14,2,1,0,2.47
Bryce Treggs,PHI,WR,9,3,80,0,12,0,0,0,0.00
Dave Johnson,PIT,TE,16,7,80,0,11,1,1,0,1.45
Arian Foster,MIA,RB,4,6,78,0,10,1,1,1,1.89
Antone Smith,TB,RB,3,6,77,0,9,0,0,0,0.00
Rashard Higgins,CLE,WR,16,6,77,0,12,3,0,0,5.26
Tommylee Lewis,NO,WR,12,7,76,0,11,0,0,0,0.00
Cody Latimer,DEN,WR,12,8,76,0,15,1,1,0,1.37
Ryan Grant,WAS,WR,16,9,76,0,19,5,0,0,6.17
Kapri Bibbs,DEN,RB,12,2,75,1,4,0,0,0,0.00
Wendall Williams,HOU,WR,3,4,75,0,7,1,0,0,1.33
Matt Jones,WAS,RB,7,8,73,0,8,0,0,0,0.00
Marcel Reece,SEA,FB,4,5,73,0,5,0,0,0,0.00
Mike Tolbert,CAR,FB,16,10,72,1,15,4,1,1,5.88
Josh Huff,PHI,WR,7,13,72,1,17,4,1,1,4.44
Alex Erickson,CIN,WR,16,6,71,0,8,1,1,0,1.49
John Kuhn,NO,FB,16,16,70,1,20,6,2,2,5.56
Kenneth Farrow,SD,RB,13,13,70,0,16,1,0,0,1.09
Geoff Swaim,DAL,TE,9,6,69,0,8,0,0,0,0.00
Keith Mumphery,HOU,WR,11,10,69,0,12,3,2,2,4.00
Jarius Wright,MIN,WR,8,11,67,1,14,2,1,1,2.63
Josh Doctson,WAS,WR,2,2,66,0,6,3,2,1,3.70
Maurice Harris,WAS,WR,10,8,66,0,12,0,0,0,0.00
Brandon Bostick,NYJ,TE,16,8,63,0,11,0,0,0,0.00
Keenan Allen,SD,WR,1,6,63,0,7,0,0,0,0.00
Dwayne Washington,DET,RB,12,10,62,0,15,3,1,0,3.49
Phillip Supernaw,TEN,TE,15,4,62,0,5,0,0,0,0.00
Dominique Jones,MIA,TE,9,7,61,1,10,1,1,1,1.89
Jonathan Stewart,CAR,RB,13,8,60,0,21,3,1,0,4.41
Jordan Cameron,MIA,TE,3,8,60,1,11,1,0,0,1.89
Brandon Myers,TB,TE,16,7,59,1,14,5,1,1,7.04
Jace Amaro,TEN,TE,3,3,59,0,4,0,0,0,0.00
Nick Williams,ATL,WR,2,5,59,0,7,2,0,0,2.13
Ameer Abdullah,DET,RB,2,5,57,1,5,1,0,0,1.16
Rhett Ellison,MIN,TE,15,9,57,0,14,4,2,1,5.26
Jerome Felton,BUF,FB,15,6,57,0,9,0,0,0,0.00
Wendell Smallwood,PHI,RB,13,6,55,0,13,1,1,0,1.11
Ka'Deem Carey,CHI,RB,12,5,55,0,7,1,0,0,1.35
Demarcus Ayers,PIT,WR,2,6,53,1,13,2,0,0,2.90
Patrick DiMarco,ATL,FB,16,7,52,1,10,1,1,1,1.06
Markus Wheaton,PIT,WR,3,4,51,1,9,2,0,0,2.90
Mike Gillislee,BUF,RB,15,9,50,1,11,2,1,1,3.77
Ronnie Hillman,SD,RB,3,3,50,0,8,0,0,0,0.00
Ifeanyi Momah,ARI,TE,5,2,50,0,4,1,0,0,1.23
Tavarres King,NYG,WR,7,2,50,0,4,1,1,0,1.54
Lucky Whitehead,DAL,WR,15,3,48,0,3,1,0,0,1.67
Aaron Ripkowski,GB,FB,16,9,46,1,10,4,2,1,3.51
Kenyan Drake,MIA,RB,16,9,46,0,10,1,0,0,1.89
Malcolm Brown,LAR,RB,16,3,46,0,3,0,0,0,0.00
Chris Moore,BAL,WR,15,7,46,0,16,0,0,0,0.00
Andy Janovich,DEN,FB,11,5,44,0,7,0,0,0,0.00
Austin Seferian-Jenkins,TB,TE,2,3,44,1,3,0,0,0,0.00
Malcolm Johnson,CLE,FB,7,5,44,0,7,0,0,0,0.00
Nick Boyle,BAL,TE,6,6,44,0,6,1,1,0,1.47
C.J. Spiller,SEA,RB,2,5,43,1,9,3,2,0,3.95
Ronnie Hillman,MIN,RB,5,4,43,0,7,0,0,0,0.00
Taiwan Jones,OAK,RB,13,4,43,0,4,0,0,0,0.00
Kenjon Barner,PHI,RB,13,5,42,0,11,1,0,0,1.11
Joshua Perkins,ATL,TE,8,3,42,1,5,2,1,0,2.13
Michael Floyd,NE,WR,2,4,42,1,6,1,0,0,1.28
Josh Huff,TB,WR,3,3,41,0,6,0,0,0,0.00
Ben Braunecker,CHI,TE,13,4,41,0,6,2,1,0,2.70
Alfred Blue,HOU,RB,14,12,40,0,16,2,0,0,2.67
John Phillips,DEN,TE,8,5,40,1,8,1,1,1,1.37
