,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Ronald Darby,WAS,CB,1,68,2,2,4,0.0,0,0,0,0,1
Hassan Ridgeway,PHI,DT,1,30,3,1,4,0.0,0,0,0,0,0
Tony McRae,DET,CB,1,16,4,0,4,0.0,0,0,0,0,0
Jarrod Wilson,JAX,S,1,63,3,1,4,0.0,0,0,0,0,0
William Jackson,CIN,CB,1,73,3,1,4,0.0,0,0,0,0,2
Quandre Diggs,SEA,S,1,77,3,1,4,0.0,0,0,1,0,2
Bud Dupree,PIT,LB,1,58,3,1,4,0.0,0,0,0,0,1
Shilique Calhoun,NE,LB,1,33,2,2,4,0.0,0,0,0,0,0
Bobby McCain,MIA,S,1,58,4,0,4,0.0,0,0,0,0,1
Matt Judon,BAL,LB,1,43,2,2,4,0.0,0,0,0,0,0
Kristian Fulton,TEN,CB,1,24,3,1,4,0.0,0,0,0,0,0
Dexter Lawrence,NYG,DE,1,30,3,1,4,1.0,0,0,0,0,0
Cameron Dantzler,MIN,CB,1,64,4,0,4,0.0,0,0,0,0,0
Jeffery Simmons,TEN,DE,1,45,3,1,4,0.0,0,1,0,0,0
Tyrel Dodson,BUF,LB,1,17,1,3,4,1.0,0,0,0,0,0
Malik Harrison,BAL,LB,1,21,4,0,4,0.0,0,0,0,0,1
Grover Stewart,IND,DT,1,30,3,1,4,0.0,0,0,0,0,0
Chase Young,WAS,DE,1,53,2,2,4,1.5,1,0,0,0,0
Brian Burns,CAR,DE,1,43,3,1,4,0.0,0,0,0,0,0
Trysten Hill,DAL,DT,1,39,2,2,4,0.0,0,0,0,0,0
Rock Ya-Sin,IND,CB,1,46,3,1,4,0.0,0,0,0,0,0
Christian Wilkins,MIA,DE,1,43,4,0,4,0.0,0,0,0,0,2
Jamal Perry,MIA,CB,1,31,3,1,4,0.0,0,0,0,0,0
Carlton Davis,TB,CB,1,68,4,0,4,0.0,0,0,0,0,0
