,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Dalvin Tomlinson,NYG,DT,16,58.0,23.0,26,49,3.5,1,0,0,0
Earl Thomas,BAL,S,15,61.0,32.0,17,49,2.0,1,1,2,0
Brandon Carr,BAL,CB,16,53.0,41.0,8,49,2.0,0,0,0,0
Damon Harrison,DET,DT,15,53.0,29.0,20,49,2.0,0,0,0,0
Lamarcus Joyner,OAK,S,14,49.0,41.0,8,49,0.0,0,0,0,0
Shelby Harris,DEN,DE,16,63.0,28.0,21,49,6.0,1,0,0,0
Mike Purcell,DEN,DT,13,48.0,28.0,20,48,0.0,0,0,0,0
Aaron Donald,LAR,DE,16,79.0,29.0,19,48,12.5,2,1,0,0
Bashaud Breeland,KC,CB,16,62.0,37.0,11,48,0.0,0,2,2,1
Melvin Ingram,LAC,DE,13,66.0,39.0,9,48,7.0,0,1,1,0
Whitney Mercilus,HOU,LB,16,77.0,33.0,15,48,7.5,4,1,2,0
Buster Skrine,CHI,CB,16,52.0,39.0,9,48,0.0,2,0,0,0
Jaquiski Tartt,SF,S,12,55.0,34.0,14,48,0.5,1,2,0,0
Quincy Williams,JAX,LB,11,48.0,30.0,18,48,0.0,0,0,0,0
Derrick Nnadi,KC,DT,16,54.0,18.0,30,48,1.0,1,0,1,0
Samson Ebukam,LAR,LB,16,63.0,26.0,22,48,4.5,1,2,0,0
Avonte Maddox,PHI,CB,12,51.0,38.0,9,47,1.0,1,0,0,0
Maxx Crosby,OAK,DE,16,75.0,36.0,11,47,10.0,4,0,0,0
Nick Bosa,SF,DE,16,73.0,32.0,15,47,9.0,1,2,1,0
Greedy Williams,CLE,CB,12,47.0,37.0,10,47,0.0,0,0,0,0
Dean Lowry,GB,DE,16,51.0,23.0,24,47,0.0,0,1,1,0
Geno Atkins,CIN,DT,16,56.0,18.0,29,47,4.5,0,0,0,0
Khalil Mack,CHI,LB,16,76.0,40.0,7,47,8.5,5,1,0,0
Michael Thomas,NYG,S,16,47.0,33.0,14,47,0.0,0,0,0,0
Leonard Williams,NYG/NYJ,DE,15,49.0,21.0,25,46,0.5,1,0,0,0
Von Miller,DEN,LB,15,62.0,33.0,13,46,8.0,0,0,0,0
Darius Slay,DET,CB,14,52.0,36.0,10,46,0.0,0,1,2,0
Maurice Canady,BAL/NYJ,CB,13,50.0,37.0,9,46,0.0,1,0,1,0
Byron Jones,DAL,CB,15,48.0,37.0,9,46,0.0,1,0,0,0
