,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Ryan Switzer,PIT,WR,16,33.4,0,0,0,0,0,6,21,0,36,44,253,1,2,0
Terrelle Pryor,BUF/NYJ,WR,8,37.1,0,0,0,0,0,1,-1,0,16,30,252,2,0,0
Matt LaCosse,DEN,TE,15,31.0,0,0,0,0,0,0,0,0,24,37,250,1,0,0
Cordarrelle Patterson,NE,WR,15,71.5,0,0,0,0,0,42,228,1,21,28,247,3,1,1
Jack Doyle,IND,TE,6,36.5,0,0,0,0,0,0,0,0,26,33,245,2,1,1
DaeSean Hamilton,DEN,WR,14,36.3,0,0,0,0,0,0,0,0,30,46,243,2,0,0
Geoff Swaim,DAL,TE,9,30.2,0,0,0,0,0,0,0,0,26,32,242,1,0,0
Phillip Lindsay,DEN,RB,15,187.8,0,0,0,0,0,192,1037,9,35,47,241,1,0,0
LeSean McCoy,BUF,RB,14,93.2,0,0,0,0,0,161,514,3,34,46,238,0,0,0
Ty Montgomery,BAL/GB,RB,13,48.3,0,0,0,0,0,41,188,1,25,40,235,0,2,1
Aldrick Robinson,MIN,WR,14,53.1,0,0,0,0,0,0,0,0,17,35,231,5,0,0
Wendell Smallwood,PHI,RB,16,89.4,0,0,0,0,0,87,364,3,28,35,230,2,2,1
Anthony Firkser,TEN,TE,12,28.5,0,0,0,0,0,0,0,0,19,20,225,1,0,0
Jordan Akins,HOU,TE,16,22.5,0,0,0,0,0,0,0,0,17,25,225,0,0,0
Bruce Ellington,DET/HOU,WR,7,28.6,0,1,0,0,0,1,2,0,31,42,224,1,1,0
Spencer Ware,KC,RB,13,59.0,0,0,0,0,0,51,246,2,20,23,224,0,0,0
Giovani Bernard,CIN,RB,12,60.9,0,0,0,0,0,56,211,3,35,48,218,0,0,0
James Washington,PIT,WR,14,27.7,0,0,0,0,0,0,0,0,16,38,217,1,0,0
DeAndre Carter,HOU/PHI,WR,14,22.3,0,0,0,0,0,1,7,0,22,25,216,0,5,1
Jordan Thomas,HOU,TE,16,45.5,0,0,0,0,0,0,0,0,20,27,215,4,0,0
Trent Taylor,SF,WR,14,27.5,0,0,0,0,0,0,0,0,26,40,215,1,1,0
James O'Shaughnessy,JAX,TE,14,21.4,0,0,0,0,0,0,0,0,24,38,214,0,0,0
Mike Davis,SEA,RB,15,102.8,0,0,0,0,0,112,514,4,34,42,214,1,0,0
Nick Boyle,BAL,TE,16,21.3,0,0,0,0,0,0,0,0,23,37,213,0,0,0
Kerryon Johnson,DET,RB,10,109.4,0,0,0,0,0,118,641,3,32,39,213,1,1,1
John Ross,CIN,WR,13,63.9,0,0,0,0,0,4,9,0,21,58,210,7,0,0
Jamaal Williams,GB,RB,16,85.4,0,0,0,0,0,121,464,3,27,41,210,0,0,0
Trent Sherfield,ARI,WR,13,27.0,0,0,0,0,0,0,0,0,19,28,210,1,0,0
Virgil Green,LAC,TE,16,27.0,0,0,0,0,0,0,0,0,19,27,210,1,0,0
Ted Ginn,NO,WR,5,35.5,0,0,0,0,0,3,26,0,17,30,209,2,1,1
