,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Jordan Evans,CIN,2017,Pro Day,6-3,242,,,4.53,88.3,,-,7.12,45.5,38.5,89.5,,-,,-
Kyler Fackrell,NYG,2016,Combine,6-5,245,33.25,10.13,4.72,42.3,,-,,-,34.5,56.0,121.0,67.8,15.0,4.1
Craig Fada,FA,2017,Pro Day,6-1,225,,,5.07,0.6,,-,,-,,-,,-,,-
Jason Fanaika,FA,2016,Combine,6-3,270,32.67,9.88,4.92,4.0,4.39,31.7,,-,35.5,67.0,113.0,18.4,23.0,55.0
Heath Farwell,FA,2005,Pro Day,6-0,235,,,4.60,75.2,4.43,24.0,7.00,65.5,36.0,71.2,117.0,41.2,,-
Travis Feeney,FA,2016,Combine,6-4,226,33.38,9.50,4.50,92.7,4.42,25.7,7.20,30.8,40.0,96.7,130.0,95.8,,-
Kylie Fitts,ARI,2018,Combine,6-4,260,33.00,9.50,4.69,51.0,4.19,84.6,6.88,86.5,32.5,32.4,117.0,41.2,31.0,97.3
Darius Fleming,FA,,Combine,6-2,255,,,4.71,44.8,4.28,58.0,7.03,61.5,33.5,45.3,114.0,25.3,27.0,84.2
Leonard Floyd,LAR,2016,Combine,6-5,240,33.13,10.13,4.60,75.2,,-,,-,39.5,94.2,127.0,91.6,,-
Moise Fokou,FA,2009,Combine,6-1,243,,,4.65,61.5,4.28,58.0,7.09,50.8,31.0,16.3,121.0,67.8,12.0,1.1
Josh Forrest,FA,2016,Combine,6-3,240,33.50,9.50,4.91,5.0,,-,,-,30.5,12.7,118.0,47.7,11.0,0.7
Khairi Fortt,FA,2014,Combine,6-2,240,,,4.70,47.8,,-,,-,36.0,71.2,120.0,61.0,30.0,93.6
Mason Foster,FA,,Combine,6-1,250,31.00,9.63,4.75,33.3,4.45,21.3,7.14,41.8,31.0,16.3,110.0,8.4,22.0,47.0
Kris Frost,FA,2016,Combine,6-2,240,32.50,10.50,4.97,2.6,,-,,-,29.0,4.7,113.0,18.4,,-
Alani Fua,FA,,Combine,6-5,234,,,4.73,39.5,4.15,88.2,6.83,91.4,34.5,56.0,18.0,0.0,118.0,100.0
Junior Galette,FA,2010,Combine,6-2,254,33.00,9.00,4.77,28.6,4.16,87.9,7.04,60.3,33.5,45.3,113.0,18.4,25.0,73.7
Cale Garrett,FA,2020,Combine,6-2,234,31.25,9.50,4.92,4.0,4.13,90.8,6.91,81.2,32.0,25.9,124.0,82.0,,-
