,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Julian Edelman,NE,2009,Pro Day,5-10,198,,,4.52,42.2,3.92,98.9,6.62,95.6,36.5,62.1,123.0,60.5,14.0,44.2
Mike Edwards,FA,,Combine,5-11,200,,,4.56,27.0,4.18,65.2,6.94,53.5,36.0,52.8,124.0,68.2,14.0,44.2
Patrick Edwards,FA,2012,Combine,5-9,175,29.63,8.38,,-,,-,,-,,-,,-,,-
Armanti Edwards,FA,2010,Combine,6-1,198,,,4.41,83.4,,-,,-,,-,,-,,-
Bryan Edwards,LV,2020,Combine,6-3,215,32.25,9.50,,-,,-,,-,,-,,-,,-
Bruce Ellington,FA,2014,Combine,5-9,200,31.00,9.63,4.45,69.1,3.95,97.7,6.69,87.7,39.5,88.0,120.0,38.6,15.0,53.6
Kevin Elliott,FA,2012,Pro Day,6-3,205,,,4.53,38.1,4.20,58.2,6.72,84.5,34.0,31.3,122.0,53.9,,-
Quincy Enunwa,FA,2014,Combine,6-2,225,32.63,9.50,4.45,69.1,,-,,-,,-,,-,19.0,83.2
Alex Erickson,CIN,2016,Pro Day,6-0,195,,,4.54,33.8,4.10,84.3,6.68,88.9,34.5,36.3,116.0,18.2,14.0,44.2
Amba Etta-Tawo,FA,2017,Combine,6-1,208,32.00,9.13,4.49,55.5,4.32,30.5,6.95,51.2,31.0,5.0,126.0,80.0,14.0,44.2
Shaquelle Evans,FA,2014,Combine,6-1,210,32.00,9.38,4.51,45.9,4.21,54.8,7.07,28.0,34.5,36.3,122.0,53.9,13.0,34.7
Mike Evans,TB,2014,Combine,6-5,231,35.13,9.63,4.53,38.1,4.26,43.9,7.08,26.2,37.0,68.3,,-,12.0,27.4
Jazz Ferguson,FA,2019,Combine,6-5,227,34.25,9.25,4.45,69.1,4.59,1.4,7.25,6.0,37.0,68.3,123.0,60.5,8.0,4.4
Chris Finke,FA,2020,Combine,5-9,186,29.00,9.00,4.57,23.4,,-,,-,40.0,90.5,0.0,0.0,7.0,2.4
Larry Fitzgerald,ARI,2004,Pro Day,6-3,218,,10.50,4.48,58.5,4.28,38.2,6.94,53.5,38.0,78.4,,-,,-
Michael Floyd,FA,2012,Combine,6-3,220,32.88,9.38,4.47,61.9,,-,,-,36.5,62.1,122.0,53.9,16.0,63.4
Dontez Ford,FA,2017,Pro Day,6-2,210,,,4.58,20.0,,-,6.98,45.1,36.0,52.8,120.0,38.6,15.0,53.6
Isaiah Ford,MIA,2017,Combine,6-2,194,32.63,9.25,4.61,13.5,4.34,24.5,6.94,53.5,35.5,47.2,127.0,84.4,14.0,44.2
Jacoby Ford,FA,2010,Combine,5-9,190,30.50,9.25,4.28,98.8,4.44,11.4,7.00,40.3,33.5,23.1,115.0,13.8,15.0,53.6
Robert Foster,FA,2018,Combine,6-2,196,32.13,9.25,4.41,83.4,4.20,58.2,6.90,59.7,31.0,5.0,116.0,18.2,,-
Bennie Fowler,NO,2014,Combine,6-1,212,32.00,9.50,4.52,42.2,4.18,65.2,7.06,31.9,36.0,52.8,126.0,80.0,,-
Austin Franklin,FA,2014,Combine,6-0,184,31.25,10.00,4.56,27.0,4.33,26.8,7.07,28.0,36.0,52.8,124.0,68.2,7.0,2.4
