Player Name,Team,Pos,Status,Injury,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Bobby Okereke,IND,LB,,,-,-,DNP,FP,FP,-,-
Russell Okung,CAR,OT,,,-,-,LP,FP,FP,-,-
Greg Olsen,SEA,TE,,,-,-,LP-Non Injury,FP,-,-,-
Foyesade Oluokun,ATL,LB,,,-,-,LP,FP,FP,-,-
K.J. Osborn,MIN,WR,Out,Hamstring,-,-,DNP,DNP,DNP,-,-
Matt Paradis,CAR,C,,,-,-,FP,FP,FP,-,-
DeVante Parker,MIA,WR,,,-,-,LP,FP,FP,-,-
Andrus Peat,NO,OG,Questionable,Ankle,-,-,-,LP,LP,LP,-
Jabrill Peppers,NYG,S,Questionable,Ankle,-,-,LP,LP,LP,-,-
Breshad Perriman,NYJ,WR,Doubtful,Ankle,-,-,DNP,DNP,DNP,-,-
Malcolm Perry,MIA,WR,,,-,-,-,DNP,FP,-,-
Corey Peters,ARI,DT,,,-,-,DNP-Non Injury,FP,FP,-,-
Marcus Peters,BAL,CB,Questionable,Thigh,-,-,DNP,LP,LP,-,-
Dante Pettis,SF,WR,,,-,-,LP,FP,FP,-,-
Darius Phillips,CIN,CB,,,-,-,LP-Non Injury,FP,FP,-,-
Del'Shawn Phillips,BUF,LB,Questionable,Quadriceps,-,-,LP,FP,FP,FP,-
Jacob Phillips,CLE,LB,,,-,-,LP,LP,FP,-,-
Jordan Phillips,ARI,DE,Questionable,Illness,-,-,-,DNP,DNP,-,-
Tyre Phillips,BAL,OG,Doubtful,Shoulder,-,-,DNP,DNP,DNP,-,-
Jason Pierre-Paul,TB,LB,,,-,DNP,FP,-,-,-,-
Ethan Pocic,SEA,C,,,-,-,FP,FP,-,-,-
Maurkice Pouncey,PIT,C,,,-,-,DNP-Non Injury,FP,FP,-,-
Justin Pugh,ARI,OG,,,-,-,FP,FP,FP,-,-
Mike Purcell,DEN,DT,Questionable,Knee,-,-,DNP,DNP,DNP,LP,-
Ryan Ramczyk,NO,OT,,,-,-,-,LP,LP,FP,-
Sheldon Rankins,NO,DT,Questionable,Thumb,-,-,-,-,-,DNP,-
Jarran Reed,SEA,DT,,,-,-,FP,-,-,-,-
Austin Reiter,KC,C,,,-,-,FP,FP,FP,-,-
Jalen Richard,LV,RB,,,-,-,LP,FP,FP,-,-
Sheldon Richardson,CLE,DT,,,-,-,DNP,LP,FP,-,-
Will Richardson,JAX,OT,,,-,-,DNP,DNP,LP,-,-
Calvin Ridley,ATL,WR,,,-,-,LP,LP,LP,-,-
Andre Roberts,BUF,WR,Questionable,Ankle,-,-,DNP,DNP,DNP,LP,-
Cam Robinson,JAX,OT,,,-,-,DNP,LP,FP,-,-
Ben Roethlisberger,PIT,QB,,,-,-,DNP-Non Injury,FP,FP,-,-
John Ross,CIN,WR,Doubtful,Illness,-,-,-,DNP,DNP,-,-
Chase Roullier,WAS,C,Questionable,Knee,-,-,-,-,DNP,-,-
Henry Ruggs,LV,WR,Questionable,Knee,-,-,LP,FP,FP,-,-
Deebo Samuel,SF,WR,Questionable,Illness,-,-,-,DNP,DNP,-,-
Wes Schweitzer,WAS,OG,Questionable,Elbow,-,-,DNP,DNP,FP,-,-
Tyler Shatley,JAX,OG,,,-,-,DNP-Non Injury,FP,FP,-,-
Laviska Shenault,JAX,WR,,,-,-,LP,LP,LP,-,-
Kawann Short,CAR,DT,,,-,-,FP,FP,FP,-,-
John Simpson,LV,OG,,,-,-,FP,FP,FP,-,-
Steven Sims,WAS,WR,IR,Toe,-,-,DNP,DNP,DNP,-,-
Jimmy Smith,BAL,CB,Questionable,Knee,-,-,DNP,LP,LP,-,-
Tyron Smith,DAL,OT,IR,Neck,-,-,DNP,DNP,DNP,-,-
JuJu Smith-Schuster,PIT,WR,,,-,-,DNP,FP,FP,-,-
Durham Smythe,MIA,TE,Out,Knee,-,-,DNP,DNP,DNP,-,-
E.J. Speed,IND,LB,,,-,-,LP,FP,FP,-,-
Ronnie Stanley,BAL,OT,Questionable,Shoulder,-,-,LP,LP,FP,-,-
Greg Stroman,WAS,CB,Out,Foot,-,-,DNP,DNP,DNP,-,-
Ndamukong Suh,TB,DE,,,-,-,DNP-Non Injury,-,-,-,-
Sione Takitaki,CLE,LB,,,-,-,FP,FP,FP,-,-
Trent Taylor,SF,WR,,,-,-,LP,FP,FP,-,-
Tyrod Taylor,LAC,QB,Out,Chest,-,-,-,LP,LP,LP,-
Adam Thielen,MIN,WR,,,-,-,LP,FP,FP,-,-
Michael Thomas,NO,WR,Questionable,Ankle,-,-,-,LP,LP,LP,-
Colin Thompson,CAR,TE,,,-,-,-,FP,FP,-,-
Neiko Thorpe,SEA,CB,IR,Sports Hernia,-,-,DNP,DNP,-,-,-
Jerry Tillery,LAC,DT,,,-,-,-,FP,FP,FP,-
JC Tretter,CLE,C,,,-,-,LP,LP,LP,-,-
Stephon Tuitt,PIT,DE,,,-,-,DNP-Non Injury,FP,FP,-,-
Laremy Tunsil,HOU,OT,,,-,-,LP,LP,FP,-,-
Trai Turner,LAC,OG,Out,Groin,-,-,-,DNP,DNP,DNP,-
Oli Udoh,MIN,OT,,,-,-,LP,LP,FP,-,-
Bobby Wagner,SEA,LB,,,-,-,FP,LP,FP,-,-
Anthony Walker,IND,LB,Questionable,Ankle,-,-,-,DNP,LP,-,-
Levi Wallace,BUF,CB,IR,Ankle,-,-,DNP,-,-,-,-
Darren Waller,LV,TE,,,-,-,LP,LP,LP,-,-
Charvarius Ward,KC,CB,,,-,-,FP,FP,FP,-,-
Jimmie Ward,SF,S,,,-,-,DNP,FP,FP,-,-
Broderick Washington,BAL,DT,Questionable,Illness,-,-,DNP,FP,FP,-,-
Justin Watson,TB,WR,Inactive,Chest,-,DNP,DNP,-,-,-,-
Derek Watt,PIT,FB,Out,Hamstring,-,-,DNP,DNP,DNP,-,-
T.J. Watt,PIT,LB,,,-,-,-,DNP,FP,-,-
Stephen Weatherly,CAR,DE,,,-,-,FP,-,-,-,-
Tre'Davious White,BUF,CB,Questionable,Back,-,-,DNP,DNP,DNP,DNP,-
Andrew Whitworth,LAR,OT,,,-,-,DNP-Non Injury,FP,FP,-,-
Brandon Williams,BAL,DT,,,-,-,-,DNP-Non Injury,-,-,-
Greedy Williams,CLE,CB,Out,Shoulder,-,-,LP,LP,LP,-,-
Jonah Williams,CIN,OT,,,-,-,-,LP,FP,-,-
K'Waun Williams,SF,CB,IR,Knee - ACL,-,-,DNP,DNP,DNP,-,-
Mike Williams,LAC,WR,Questionable,Hamstring,-,-,-,DNP,LP,LP,-
Quincy Williams,JAX,LB,IR-R,Abdomen,-,-,-,FP,-,-,-
